taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
1000,0,1,CountingSort,3001,0,0,154580
1000,0,1,QuickSort,36239,15341,6304,797900
1000,0,1,InsertionSort,2997,999,0,96519
1000,0,1,BubbleSort,1998,999,0,65150
1000,0,1,MergeSort,19952,5044,0,574030
1000,0,2,CountingSort,3001,0,0,150160
1000,0,2,QuickSort,40009,17110,6963,1013389
1000,0,2,InsertionSort,2997,999,0,96160
1000,0,2,BubbleSort,1998,999,0,67380
1000,0,2,MergeSort,19952,5044,0,663820
1000,0,3,CountingSort,3001,0,0,165470
1000,0,3,QuickSort,40160,17636,6846,901470
1000,0,3,InsertionSort,2997,999,0,97209
1000,0,3,BubbleSort,1998,999,0,61990
1000,0,3,MergeSort,19952,5044,0,564500
1000,0,4,CountingSort,3001,0,0,152670
1000,0,4,QuickSort,37632,15660,6671,793870
1000,0,4,InsertionSort,2997,999,0,98440
1000,0,4,BubbleSort,1998,999,0,60590
1000,0,4,MergeSort,19952,5044,0,651340
1000,25,1,CountingSort,3001,0,0,147570
1000,25,1,QuickSort,35759,15611,6053,610869
1000,25,1,InsertionSort,226701,75567,0,4616227
1000,25,1,BubbleSort,1291420,496574,74568,7336516
1000,25,1,MergeSort,19952,8259,0,697880
1000,25,2,CountingSort,3001,0,0,148960
1000,25,2,QuickSort,38036,16202,6604,910210
1000,25,2,InsertionSort,49522,16502,0,1193679
1000,25,2,BubbleSort,462742,200349,15511,4843637
1000,25,2,MergeSort,19952,5711,0,659489
1000,25,3,CountingSort,3001,0,0,147669
1000,25,3,QuickSort,38670,16428,6741,952260
1000,25,3,InsertionSort,52668,17556,0,1277689
1000,25,3,BubbleSort,463828,198800,16557,4882546
1000,25,3,MergeSort,19952,5721,0,647330
1000,25,4,CountingSort,3001,0,0,150690
1000,25,4,QuickSort,41893,17830,7358,851229
1000,25,4,InsertionSort,48036,16012,0,1181769
1000,25,4,BubbleSort,449872,194910,15013,4925137
1000,25,4,MergeSort,19952,5715,0,657030
1000,50,1,CountingSort,3001,0,0,154850
1000,50,1,QuickSort,38518,16060,6824,942079
1000,50,1,InsertionSort,436450,145482,0,4960057
1000,50,1,BubbleSort,1576238,499149,144485,7238005
1000,50,1,MergeSort,19952,8577,0,707519
1000,50,2,CountingSort,3001,0,0,148370
1000,50,2,QuickSort,34910,15131,5915,872250
1000,50,2,InsertionSort,187091,62361,0,4402557
1000,50,2,BubbleSort,947984,351260,61366,6429476
1000,50,2,MergeSort,19952,6641,0,657920
1000,50,3,CountingSort,3001,0,0,147440
1000,50,3,QuickSort,35397,15048,6114,835220
1000,50,3,InsertionSort,190464,63488,0,4329987
1000,50,3,BubbleSort,995444,372744,62489,6569786
1000,50,3,MergeSort,19952,6641,0,665560
1000,50,4,CountingSort,3001,0,0,159450
1000,50,4,QuickSort,39915,17094,6949,952099
1000,50,4,InsertionSort,185547,61849,0,4411997
1000,50,4,BubbleSort,978718,367659,60850,7036876
1000,50,4,MergeSort,19952,6625,0,669929
1000,75,1,CountingSort,3001,0,0,147460
1000,75,1,QuickSort,38625,16164,6821,713830
1000,75,1,InsertionSort,598148,199380,0,5541186
1000,75,1,BubbleSort,1790900,498680,198385,7420765
1000,75,1,MergeSort,19952,8706,0,682070
1000,75,2,CountingSort,3001,0,0,146560
1000,75,2,QuickSort,38234,16076,6727,845839
1000,75,2,InsertionSort,431698,143894,0,5086327
1000,75,2,BubbleSort,1498520,463454,142903,7124126
1000,75,2,MergeSort,19952,7535,0,675090
1000,75,3,CountingSort,3001,0,0,158700
1000,75,3,QuickSort,35401,15037,6128,631069
1000,75,3,InsertionSort,424437,141479,0,4845467
1000,75,3,BubbleSort,1486664,462372,140480,6963496
1000,75,3,MergeSort,19952,7656,0,664610
1000,75,4,CountingSort,3001,0,0,158969
1000,75,4,QuickSort,43940,18227,7902,823969
1000,75,4,InsertionSort,443637,147879,0,5217456
1000,75,4,BubbleSort,1498014,455247,146880,7102506
1000,75,4,MergeSort,19952,7802,0,677519
1000,100,1,CountingSort,3001,0,0,180230
1000,100,1,QuickSort,39314,16604,6904,697290
1000,100,1,InsertionSort,729043,243011,0,5820606
1000,100,1,BubbleSort,1963286,497609,242017,7491916
1000,100,1,MergeSort,19952,8695,0,680569
1000,100,2,CountingSort,3001,0,0,150460
1000,100,2,QuickSort,41912,17711,7394,1078389
1000,100,2,InsertionSort,762633,254209,0,5925376
1000,100,2,BubbleSort,2011546,499347,253213,7332485
1000,100,2,MergeSort,19952,8728,0,678070
1000,100,3,CountingSort,3001,0,0,167310
1000,100,3,QuickSort,37439,17084,6127,721390
1000,100,3,InsertionSort,765949,255311,0,5988846
1000,100,3,BubbleSort,2015680,499200,254320,7656795
1000,100,3,MergeSort,19952,8695,0,713160
1000,100,4,CountingSort,3001,0,0,220670
1000,100,4,QuickSort,37256,15893,6453,683640
1000,100,4,InsertionSort,738221,246069,0,6583345
1000,100,4,BubbleSort,1978316,499004,245077,7310476
1000,100,4,MergeSort,19952,8695,0,686189
